char,dialog,movie
THEODEN: ,"
  Make safe the city., 
    ",The Return of the King Movie Script
THEODEN: ,"
  Re-form the line!  Re-form the line!, 
    ",The Return of the King Movie Script
THEODEN: ,"
  Sound the charge.  Take them head-on. Chaaarge! , 
    ",The Return of the King Movie Script
ROHIRRIM:  ,"
  Cut him down! , 
    ",The Return of the King Movie Script
EOWYN:  ,"
  Take the reins, pull him left. ,  LEFT! , 
    ",The Return of the King Movie Script
EOMER: ,"
  Aim for the heads! , 
    ",The Return of the King Movie Script
THEODEN: ,"
  Bring it down! Bring it down!  Bring it down!, 
    ",The Return of the King Movie Script
EOWYN: ,"
  Merry! , 
    ",The Return of the King Movie Script
FRODO:,"Smeagol? (shouts) SMEAGOL! SMEAGOL! ,
 ",The Return of the King Movie Script
FRODO:,"Sam. ,
 ",The Return of the King Movie Script
SAM:,"Ow! ,
 ",The Return of the King Movie Script
GALADRIEL VOICEOVER: ,"And you Frodo Baggins, I give you the light of E�rendil, our most 
beloved star. , May it be a light for you in dark places, when all other lights go 
out. ,
 ",The Return of the King Movie Script
FRODO:,"Aiya E�rendil Elenion Ancalim� ,
 ",The Return of the King Movie Script
GOLLUM:,"Naughty little fly. Why does he cry? ,Caught in a web. Soon 
    you�ll be eaten. ,
 ",The Return of the King Movie Script
GOLLUM:,"Got away did it precious? Not this time. Not this time.
    ,
 ",The Return of the King Movie Script
FRODO:,NO! ,The Return of the King Movie Script
SMEAGOL:,"It wasn�t us. It wasn�t us. ,Smeagol 
wouldn�t hurt master. We promised. You must believe us. It was the precious. The 
precious made us do it. ,
 ",The Return of the King Movie Script
FRODO:,"I have to destroy it Smeagol. , I have to destroy it 
for both our sakes. ,
 ",The Return of the King Movie Script
GOLLUM:,"NO! , Aaaaaaaaa.,
 ",The Return of the King Movie Script
FRODO:,"I�m so sorry Sam. ,
    I�m so sorry. ,
 ",The Return of the King Movie Script
GIMLI: ,"What kind of army would linger in such a place? ,
 ",The Return of the King Movie Script
LEGOLAS: ,"One that is cursed. Long ago the men of the mountains swore an oath to 
    the last King of Gondor , to come to his aid, to fight. But when 
    the time came, when Gondor�s need was dire, they fled vanishing into the 
    darkness of the mountain. And so Isildur cursed them, never to rest until 
    they had fulfilled their pledge. Who shall call them from the grey twilight, 
    the forgotten people? The heir of him to whom the oath they swore. From the 
    North shall he come, need shall drive him. He shall pass the door to the 
    Paths of the Dead. ,
 ",The Return of the King Movie Script
GIMLI: ,"The very warmth of my blood seems stolen away. ,
 ",The Return of the King Movie Script
LEGOLAS: ,"The way is shut. It was made by those who are dead , and the dead keep it. The 
    way is shut. ,
 ",The Return of the King Movie Script
