char,dialog
FRODO:,"He's led us this far, Sam.,
 "
SAM:,"Mr. Frodo, no.,
 "
FRODO:,"He's been true to his word.,
 "
SAM:,"No.,
 "
FRODO:,"Lead the way, Smeagol.,
 "
GOLLUM:,"Good Smeagol always helps.,
 "
MERRY:,"Hello?
Treebeard?
Where has he gone?,
 "
PIPPIN:,"I had the loveliest dream last night.
There was this large barrel,
full of pipe-weed.And we smoked all of it.
And then......you were sick.
I'd give anything for a whiff of Old Toby.,
 "
MERRY:,"Did you hear that?
There it is again.
Something's not right here.
Not right at all.,
 "
PIPPIN:,"Did we lose him? I think we lost him.,
 "
ORC:,"I'm going to rip out
your filthy little innards!,
 "
MERRY:,"You just said something...Treeish.,
 "
PIPPIN:,"No, I didn't. I was just stretching. "
MERRY:,"You're taller.,
 "
PIPPIN:,"Who?,
 "
MERRY:,"You!,
 "
PIPPIN:,"Than what?,
 "
MERRY:,"Than me!,
 "
PIPPIN:,"I've always been taller than you.,
 "
MERRY:,"Pippin, everyone knows I'm the tall one.,
You're the short one.,
 "
PIPPIN:,"Please, Merry.
You're what? Three-foot-six? At the most?
Whereas me, I'm pushing 3'7"". ,3'8""! "
MERRY:,"Three-foot-eight.
You did something.,
 "
PIPPIN:,"Merry, don't! Don't drink it!,
 "
PIPPIN:,"Merry!
No, Treebeard said that you
shouldn't have any.,
 "
ORC:,"Come here!,
 "
MERRY:,"Trees. Climb a tree.,
 "
MERRY:,"
He's gone.,
 "
PIPPIN:,"Merry!,
 "
TREEBEARD:,"Hooom!,
 "
MERRY:,"Aaagh! ,
 "
ORC:,"
Let's put a maggot hole in your belly!,
 "
PIPPIN:,"Run, Merry!,
 "
TREEBEARD:,"Little Orcs.,
 "
PIPPIN:,"It's talking, Merry.
The tree is talking.,
 "
TREEBEARD:,"Tree?
I am no tree!
I am an Ent.,
 "
MERRY:,"
A tree-herder.
A shepherd of the forest.,
 "
PIPPIN:,"Don't talk to it, Merry.
Don't encourage it!,
 "
MERRY:,"I want some!,
 "
PIPPIN:,"lt could well be dangerous!,
 "
PIPPIN:,"Give me it back. Merry!,
 "
PIPPIN:,"What's happening?!,
 "
MERRY:,"Aaagh!
It's got my leg!,
 "
PIPPIN:,"
Merry!,
 "
MERRY and PIPPIN:,"Help!,
 "
TREEBEARD:,"Away with you.
You should not be waking.
Eat earth. Dig deep. Drink water.,
 "
TREEBEARD:,"Go to sleep.
Away with you. ,Come, the forest is waking up.,
 "
TREEBEARD:,"It isn't safe.
The trees have grown wild
and dangerous.
Anger festers in their hearts.
Black are their thoughts.
Strong is their hate.
They will harm you if they can.
There are too few of us now.
Too few of us Ents left to manage them.,
 "
PIPPIN:,"Why are there so few of you
when you have lived so long? Are there Ent children?,
 "
TREEBEARD:,"Bru-ra-hroom.
There have been no Entings
for a terrible long count of years.,
 "
MERRY:,"Why is that?,
 "
TREEBEARD:,"We lost the Entwives.,
 "
PIPPIN:,"Oh, I'm sorry. How did they die?,
 "
TREEBEARD:,"Die? No.
We lost them.
And now we cannot find them. I don't suppose you've seen Entwives in the Shire?,
 "
ARGORN:,"Their pace has quickened.,
They must have caught our scent.,
Hurry!,
 "
LEGOLAS:,"
Come on, Gimli!,
 "
GIMLI:,"Three days and nights pursuit.,
No food. No rest.
And no sign of our quarry,
but what bare rock can tell.,
 "
ARAGORN:,Not idly do the leaves of Lorien fall.
LEGOLAS:,They may yet be alive.
ARGORN:,Less than a day ahead of us. Come.
LEGOLAS:,"Come, Gimli! We're gaining on them!"
GIMLI:,"Keep breathing. That's the key.
Breathe.,
 "
LEGOLAS:,"They've run as if the very whips
of their masters were behind them.,
 "
ORC:,"We're not going no further......until we've had a breather.,
 "
UGLUK:,"Get a fire going!,
 "
TREEBEARD:,"Treebeard, some call me.,
 "
PIPPIN:,"And whose side are you on?,
 "
TREEBEARD:,"Side?
I am on nobody's side......because nobody's on my side,
little Orc.
Nobody cares for the woods anymore.,
 "
MERRY:,"We're not Orcs! We're Hobbits!,
 "
TREEBEARD:,"Hobbits?
Never heard of a Hobbit before.
Sounds like Orc mischief to me! ,They come with fire.
They come with axes.
Gnawing, biting, breaking,
hacking, burning! Destroyers and usurpers! Curse them!,
 "
MERRY:,"No!
You don't understand. We're Hobbits!
Halflings!
Shire-folk!,
 "
TREEBEARD:,"Maybe you are......and maybe you aren't.
The White Wizard will know.,
 "
PIPPIN:,"The White Wizard?,
 "
MERRY:,"Saruman.,
 "
GOLLUM:,"See? See?
We've led you out.
Hurry, Hobbitses. Hurry! ,
Very lucky we find you.,
    ,Nice Hobbit.,
 "
SAM:,"It's a bog. He's led us into a swamp.,
 "
GOLLUM:,"A swamp, yes, yes.
Come, master. We will take you
on safe paths through the mist.
Come, Hobbits! Come! We go quickly. ,I found it. I did.
The way through the marshes.
Orcs don't use it.
Orcs don't know it.
They go around for miles and miles.
Come quickly.
Soft and quick as shadows we must be.,
 "
SAM:,"I hate this place. It's too quiet.
There's been no sight nor sound
of a bird for two days.,
 "
GOLLUM:,"No, no birdses to eat.
No crunchable birdses.
We are famished! Yes!
Famished we are, precious! ,
 "
FRODO:,Here. 
GOLLUM:,"What does it eats?
Is it tasty? ,It tries to chokes us!
We can't eats Hobbit food!
We must starve!,
    ,
 "
MERRY:,"Can't say that I have. You, Pip?,
 "
PIPPIN:," What do they 
    look like?,
 "
TREEBEARD:,I don't remember now.
GANDALF:,"Edoras and the Golden Hall of Meduseld. There dwells Theoden, 
    King of Rohan...... whose mind is overthrown. Saruman's hold over King 
    Theoden is now very strong.,
 "
EOWYN:,"My lord, your son......he is dead. , My lord? Uncle? Will you not go to him? Will you do 
    nothing?,
 "
GANDALF:,"Be careful what you say.Do not look for welcome here.
    ,
 "
GRIMA:,"Oh, he must have died sometime in the night. What a tragedy 
    for the king......to lose his only son and heir.,
 "
GRIMA:,"I understand. His passing is hard to accept. Especially now 
    that your brother has deserted you.,
 "
EOWYN:,"Leave me alone, snake!,
 "
GRIMA:,"Oh, but you are alone. Who knows what you've spoken to the 
    darkness ,......in 
    the bitter watches of the night......when all your life seems to shrink. The 
    walls of your bower closing in about you. A hutch to trammel some wild thing 
    in.,
    ,So fair. So cold. Like a morning of pale spring......still clinging 
    to winter's chill.,
 "
EOWYN:,"
    Your words are poison.,
 "
GIMLI:,"You'll find more cheer in a graveyard.,
 "
HAMA:,"I cannot allow you before Theoden King so armed, Gandalf 
    Greyhame. By order of Grima Wormtongue.,
 "
HAMA:,"Your staff,
 "
GIMLI:,"I'm wasted on cross-country.,
We Dwarves are natural sprinters.,
Very dangerous over short distances."
ARAGORN:,"Rohan.
Home of the Horse-lords.
There's something strange at work here.Some evil gives speed
to these creatures.
Sets its will against us."
ARAGORN:,Legolas! What do your Elf-eyes see?
LEGOLAS:,"The Uruks turn northeast.
They are taking the Hobbits to lsengard."
ARAGORN:,Saruman.
SARUMAN VOICE OVER:,"The world is changing.
Who now has the strength to stand
against the armies of Isengard......and Mordor?
To stand against the might of Sauron
and Saruman......and the union of the two towers?"
SARUMAN VOICE OVER:,"Together, my Lord Sauron...... we shall rule this Middle-earth.,
 "
SARUMAN VOICE OVER :,"The Old World will burn
in the fires of industry.
The forests will fall.
A new order will rise.
We will drive the machine of war
with the sword and the spear...... and the iron fists of the Orc. We have only 
    to remove those who oppose us.,
 "
SARUMAN:,"I want them armed and ready to march
within two weeks!,
 "
ORC:,"But, my lord, there are too many!
They cannot all be armed in time,
we don't have the means."
SARUMAN:,"Build a dam, block the stream,
work the furnaces night and day."
ORC:,"We don't have enough fuel
to feed the fires."
PIPPIN:,"Merry!
Merry!,
 "
MERRY:,"I think we might have made a mistake
leaving the Shire, Pippin.,
 "
PIPPIN:,"What's making that noise?,
 "
MERRY:,"It's the trees.,
 "
PIPPIN:,"What?,
 "
MERRY:,"You remember the Old Forest,
on the borders of Buckland?
Folk used to say there was something in,
the water that made the trees grow tall......and come alive.,
 "
PIPPIN:,"Alive?,
 "
MERRY:,"Trees that could whisper......talk to each other......even move.,
 "
URUK-HAI:,"I'm starving.
We ain't had nothing but maggoty bread
for three stinking days.,
 "
SNAGA:,"Yeah!
Why can't we have some meat?! ,What about them?
They're fresh.,
 "
UGLUK:,"They are not for eating.,
 "
GRISHNAKH:,"What about their legs?
They don't need those.,
 "
GRISHNAKH:,They look tasty. 
UGLUK:,"Get back, scum!,
The prisoners go to Saruman.
Alive and unspoiled.,
 "
GRISHNAKH:,"Alive? ,Why alive?
Do they give good sport?,
 "
SAM:,"Well, starve, then. And good riddance!,
 "
GOLLUM:,"Oh, cruel Hobbit.
It does not care if we be hungry.
Does not care if we should die. ,Not like master.
Master cares.
Master knows.
Yes.
Precious.
Once it takes hold of us......it never lets go.,
 "
FRODO:,"Don't touch me!,
 "
SAM:,"There are dead things!
Dead faces in the water.,
 "
GOLLUM:,"All dead. All rotten.
Elves and Men and Orcses.
A great battle long ago.
Dead Marshes.
Yes. Yes, that is their name.,
This way.
Don't follow the lights.,
 "
GOLLUM:,"Careful now! Or Hobbits go down
to join the dead ones......and light little candles
of their own.,
 "
SAM:,"Frodo!,
 "
FRODO:,"
    Gollum?,
 "
GOLLUM:,"Don't follow the lights.,
 "
FRODO:,"Gollum!,
 "
SAM:,"Mr. Frodo!
Are you all right?,
 "
GOLLUM:,"So bright.
So beautiful.,
 "
GOLLUM:,"(strokes his own palm)
Our precious.,
 "
FRODO:,"What did you say?,
 "
GANDALF:,"Hmmm ,You 
    would not part an old man from his walking stick."
GRIMA:," 
    My lord, Gandalf the Grey is coming. He's a herald of woe.,
 "
GANDALF:,"The courtesy of your hall is somewhat lessened of late......Theoden 
    King.,
 "
GRIMA:," He's 
    not welcome.,
 "
THEODEN:,"Why should I welcome you......Gandalf Stormcrow?
    "
GRIMA:,"A just question, my liege. ,Late is the hour......in which this 
    conjurer chooses to appear., Lathspell I name him.Ill news is an ill guest.,
 "
GANDALF:,"Be silent. Keep your forked tongue behind your teeth. I have 
    not passed through fire and death......to bandy crooked words with a witless 
    worm. ,
 "
GRIMA:,"His staff. I 
    told you to take the wizard's staff.,
 "
GANDALF:,"Theoden......son of Thengel......too long have you sat in 
    the Shadows.,
 "
GIMLI:,"I would stay still if I were you.,
 "
GANDALF:,"Hearken to me! I release you......from the spell.
    "
THEODEN:,"You have no power here ......Gandalf the ,.,
 "
GANDALF:,"I will draw you, Saruman, as poison is drawn from a wound."
ARAGORN:,"Wait.,
 "
THEODEN:,"If I go, Theoden dies.,
 "
SARUMAN:,"The Forest of Fangorn
lies on our doorstep. Burn it."
ORC:,Yes.
WILDMAN:,We will fight for you.
SARUMAN: ,Swear it.
WILDMAN:,We will die for Saruman.
SARUMAN: ,"The Horse-Men took your lands.
They drove your people into the hills
to scratch a living off rocks.,
 "
WILDMAN:,Murderers!
SARUMAN:,"Take back the lands they stole from you.
Burn every village!"
SARUMAN VOICE OVER:,"We have only to remove those
who oppose us.
It will begin in Rohan.
Too long have these peasants
stood against you.
But no more."
MORWEN:,"Eothain! Eothain!
You take your sister.
You'll go faster with just two."
MORWEN:,"Listen to me. You must ride to Edoras
and raise the alarm. Do you understand me?"
EOTHAIN:,"Yes, Mama."
FREDA:,"I don't want to leave.
I don't want to go, Mama."
UGLUK:,"They have something.
An Elvish weapon.
The master wants it for the war.,
 "
PIPPIN:,"They think we have the Ring.,
 "
MERRY:,"Ssh!
As soon as they find out we don't,
we're dead.,
 "
SNAGA:,"Just a mouthful...,
...a bit of the flank.,
 "
UGLUK:,"Looks like meat's back on the menu,
boys.,
 "
MERRY:,"Pippin.
Let's go.,
 "
GRISHNAKH:,"Go on.
Call for help. ,
Squeal.
No one's going to save you now. ,
 "
MERRY:,Pippin! 
PIPPIN:,"Aaaaaaaagh!,
 "
LEGOLAS:,"A red sun rises.
Blood has been spilled this night."
ARAGORN:,"Riders of Rohan......what news from the Mark?,
 "
EOMER:,"What business does an Elf, a Man
and a Dwarf have in the Riddermark?
Speak quickly!,
 "
GIMLI:,"Give me your name, horse-master,
and I shall give you mine.,
 "
GOLLUM:,"Master should be resting.
Master needs to keep up his strength.,
 "
FRODO:,"Who are you?,
 "
GOLLUM:,"Mustn't ask us. Not its business.
Gollum. Gollum.,
 "
FRODO:,"Gandalf told me you were
one of the river-folk.,
 "
GOLLUM:,"Cold be heart and hand and bone,
Cold be travellers far from home,
 "
FRODO:,"He said your life was a sad story.,
 "
GOLLUM:,"They do not see what lies ahead,
When sun has failed and moon is dead,
 "
FRODO:,"You were not so very different
from a Hobbit once.
Were you?
Smeagol.,
 "
GOLLUM:,"What did you call me?,
 "
FRODO:,"That was your name once, wasn't it?
A long time ago.,
 "
GANDALF:,"You did not kill me......you 
    will not kill him.,
 "
THEODEN:,"Rohan 
    is mine.,
 "
GANDALF:,"Be gone.,
 "
THEODEN:,"I know your face., 
    Eowyn. Eowyn. ,Gandalf?,
 "
GANDALF:,"Breathe the free air again, my friend.,
 "
THEODEN:,Dark have been my dreams of late. 
GANDALF:,"Your fingers would remember their old strength 
    better......if they grasped your sword.,
 "
GRIMA:,"I've only......ever served you, my lord.
    ,
 "
THEODEN:,"
    Your leechcraft would have had me crawling on all fours like a beast!,
 "
GRIMA:,"Send me not from your sight.,
 "
ARAGORN:,"No, my lord! No, my lord. Let him go. Enough blood has been 
    spilt on his account.,
 "
GRIMA:,"Get out of my way!,
 "
HAMA:,"Hail, Theoden King!,
 "
THEODEN:,Where is Theodred? Where is my son?
MORWEN:," Freda, I will find 
    you there."
MORWEN:,"Quickly! ,Go, child."
SARUMAN VOICE OVER:,"Rohan, my lord......is ready to fall."
EOMER:,"Theodred.
Find the king's son!"
ROHAN HORSEMAN:,Mordor will pay for this
EOMER:,These Orcs are not from Mordor.
ROHAN HORSEMAN:,"My Lord Eomer, over here!"
EOMER:,He's alive.
EOWYN:,Theodred.
EOWYN:,"Your son is badly wounded, my lord."
EOMER:,"He was ambushed by Orcs.
If we don't defend our country,
Saruman will take it by force"
GRIMA:,"That is a lie.
Saruman the White has ever been
our friend and ally."
