char,dialog
SAM:,"Now, Mr. Frodo, you shouldn't make fun. I was being serious. ,
       
    "
GANDALF:,"Meriadoc Brandybuck and Peregrin Took! I might have known!,
 "
CROWD:,"Speech Bilbo ,
 "
FRODO:,"Speech!,
 "
BILBO:,"My dear Bagginses and Boffins, , Tooks and Brandybucks ,, Grubbs ,, Chubbs
    ,, Hornblowers ,, Bulgers ,, 
    Bracegirdles ,, and Proudfoots,
 "
PROUDFOOT HOBBIT:," PROUDFEET! ,
 "
BILBO:,"Today is my One Hundred and Eleventh birthday!
    ,
 "
HOBBIT:,"Happy Birthday!,
 "
BILBO:,"Alas, elevnty-one years is far too short a time to live 
    among such excellent and admirable hobbits.,  I don't know half of you half as well as I 
    should like and I like less than half of you, half as well as you deserve.
    "
BILBO: ,"What�s this? ,
 "
GALADRIEL VOICE OVER:,"A Hobbit. Bilbo Baggins of the Shire.
    ,
    ,
 "
BILBO:,"A Ring! ,
 "
GOLLUM:," Lost!
    , My Precious is lost.,
 "
GALADRIEL:,"For the time will soon come when Hobbits will shape the 
    fortunes of all.,
 "
BILBO:,"The 22nd day of September in the year 1400
    ,by Shire 
    reckoning. , Bag End, 
    Bagshot Row, Hobbiton, West Farthing, The Shire, Middle Earth.
    , The Third Age of this world. ,
 "
BILBO:,"There and back again, A Hobbit�s tale, by Bilbo 
    Baggins. ,Now, where to begin? 
    Ah, yes. ,Concerning Hobbits. ,
 "
BILBO VOICEOVER:,"Hobbits have been living and farming in the four 
    Farthings of the Shire for many hundreds of years. , quite content to 
    ignore and be ignored by the world of the Big Folk. , Middle Earth being, 
    after all, full of strange creatures beyond count. Hobbits must seem of 
    little importance, being neither renowned as great warriors, nor counted 
    amongst the very wise. ,
 "
BILBO:," Frodo, someone at 
    the door. ,In fact, it 
    has been remarked by some that Hobbits� only real passion is for food.
    , A rather unfair observation
    , As 
    we have also developed a keen interest in the brewing of ales
    ,and the smoking of pipeweed. , But where 
    our hearts truly lie , is in peace and quiet ,and good 
    tilled earth. ,For all Hobbits share a love of all things that grow.
    ,And yes, no doubt to others, our ways seem quaint
    , But today of all days, it is brought home to me it is 
    no bad thing to celebrate a simple life. ,
 "
BILBO:,"Frodo, the door! , 
    sticklebacks, where is that boy! FRODO! ,
 "
GANDALF:,"Hmm hmm hmm hmm, Down from the door where it began, hmm 
    hmm hmm hmm,
 "
GANDALF:,"And I must follow if I can. , The road goes 
    ever on and on, down from the door where it began, now far ahead the road 
    has gone, and I must follow if I can.


  


    ,
 "
FRODO:,"You�re late!


  


    ,
 "
FRODO:,"So was l. , 
    "
SAM:,"""Samwise the Brave."" ,
    "
FRODO:,"Smeagol?,
       
    "
SAM:,"We're not going to wait for you. Come on., 
    "
SMEAGOL:,"Master. Master looks after us. ,Master wouldn't hurt us.,
       
    "
GOLLUM:,"Master broke his promise.,
       
    "
SMEAGOL:,"Don't ask Smeagol. Poor, poor Smeagol.,
       
    "
GOLLUM:,"Master betrayed us. Wicked. Tricksy. False. ,We ought to wring his filthy little neck.,Kill him! Kill him! Kill them both! ,And then we take the precious......and we be the master!,
       
    "
SMEAGOL:,"But the fat Hobbit, he knows.
      Eyes always watching.,
       
    "
GOLLUM:,"
      Then we stabs them out. Put out his eyeses and make him crawl.,
       
    "
SMEAGOL:,"Yes. Yes. Yes.,
       
    "
GOLLUM:,"Kill them both.,
       
    "
SMEAGOL:,"Yes. , No! No! ,It's too risky. It's too risky.,
       
    "
SAM:,"Where is he? Where has he gone? Hey, Gollum! Where are you?,
       
    "
GANDALF:,"A wizard is never late! Frodo Baggins.
    , Nor is he early, he arrives precisely when he means 
    to.


  


    ,
 "
FRODO:,Its wonderful to see you Gandalf. 
GANDALF:,"You didn�t think Id miss your Uncle Bilbo�s birthday?
    ,
 "
"GANDALF:


  


    ","So how is the old rascal? I hear it is going to be a 
    party of special significance?


  


    ,
 "
FRODO:,"You know Bilbo he�s got the whole place in an uproar.,
 "
GANDALF:,"Well that should please him. ,
 "
FRODO:,"Half the Shire�s been invited. ,
    And the rest of them are turning up anyway. ,
 "
BILBO VOICEOVER:,"And so life in the Shire goes on, very much as it has 
    this past age. , Full of its own comings and goings with change coming 
    slowly, if it comes at all. ,For things are made to endure in 
    the Shire, passing from one generation to the next. There�s always been a 
    Baggins living here under the Hill, in Bag End ,


  


    ,
 "
BILBO:,"And there always will be.


  


    ,
 "
FRODO:,"To tell you the truth, Bilbo has been acting a bit odd 
    lately. ,I 
    mean, more than usual. He�s taken to locking himself in his study.
    , He spends hours 
    and hours poring over old maps when he thinks I�m not looking.


  


    ,
 "
BILBO:,"Where�s it gone?


  


    ,
 "
BILBO:,"Aaaaah. ,
 "
FRODO:,"He�s up to something. , All right then, 
    keep your secrets!,
 "
GANDALF:,"What? ,
 "
EOMER:,"Stay out of the forest! Keep away from the trees!,
       
    "
LEGOLAS:,"Final count.....42.,
       
    "
GIMLI:,"Forty-two? That's not bad for a pointy-eared Elvish princeling. I myself am sitting pretty on 43., 
    "
LEGOLAS:," Forty-three.,
       
    "
GIMLI:,"He was already dead.,
       
    "
LEGOLAS:,"He was twitching.,
       
    "
GIMLI:,"He was twitching......because he's got my axe ,embedded in his nervous system!,
       
    "
MERRY:,"He doesn't look too happy, does he?,
       
    "
FRODO:,"Smeagol?,
       
    "
GOLLUM:,"We could let , do it.,
       
    "
SMEAGOL:,"Yes. She could do it.,
       
    "
GOLLUM:,"Yes, precious, she could. And then we takes it once they're dead.,
       
    "
SMEAGOL:,"Once they're dead. ,Ssssssssssssssh!,
       
    "
SMEAGOL:,"Come on, Hobbits. Long ways to go yet. , Smeagol will show you the way.,
       
    "
GOLLUM:,"Follow me.,
       
    "
MADRIL:,"Faramir! Orcs have taken the eastern shore. Their numbers are too great.
      By nightfall we will be overrun.,
       
    "
SAM:,"Mr. Frodo?,
       
    "
FRODO:,"It's calling to him, Sam. His Eye is almost on me. ,
       
    "
SAM:,"Hold on, Mr. Frodo. You'll be all right.,
       
    "
FARAMIR:,"Take them to my father. ,Tell him Faramir sends a mighty gift.
      ,A weapon that will change our fortunes,
      in this war. , 
    "
SAM:,"Do you want to know
      what happened to Boromir? ,You want to know why your brother died?  He tried to take the Ring from Frodo after swearing an oath to protect him! ,He tried to kill him! The Ring drove your brother mad!,
       
    "
FRODO:,"But I know you have something to do with it.


  


    ,
 "
"GANDALF:


  


    ","Good gracious me!


  


    ,
 "
FRODO:,"Before you came along we Bagginses were very well 
    thought of.


  


    ,
 "
GANDALF:,"Indeed?,
 "
"FRODO:


  


    ","We never had any adventures, or did anything 
    unexpected.


  


    ,
 "
GANDALF:,"If you�re referring to the incident with the dragon, I 
    was barely involved. All I did was give your uncle a little nudge out of the 
    door.


  


    ,
 "
FRODO:,"Whatever you did, you�ve been officially labelled as a 
    �disturber of the peace.�,
 "
GANDALF:,"Oh really?,
 "
